_id__$oid,battery,height,volume,temperature,ReadingDateTime,environment,DATE,TIME,HOUR,,Hourly_averge_flow ,,
5da6830047ddba000dbbdfee,null,89,8900,null,12:37:14 PM,,10/22/2019,12:37:14 PM,12,12:37 PM,8900,,89
5da6855847ddba000dbbdffe,null,89,8900,null,1:37:14 PM,,10/22/2019,1:37:14 PM,13,1:37 PM,8850,,89
5da687b147ddba000dbbe00e,null,88,8800,null,2:37:14 PM,,10/22/2019,2:37:14 PM,14,2:37 PM,8800,,88
5da68a0847ddba000dbbe024,null,88,8800,null,3:37:14 PM,,10/22/2019,3:37:14 PM,15,3:37 PM,8750,,88
5da68c6347ddba000dbbe030,null,87,8700,null,4:37:14 PM,,10/22/2019,4:37:14 PM,16,4:37 PM,8650,,87
5da68eb847ddba000dbbe048,null,86,8600,null,5:37:14 PM,,10/22/2019,5:37:14 PM,17,5:37 PM,8650,,86
5da6911047ddba000dbbe05e,null,87,8700,null,6:37:14 PM,,10/22/2019,6:37:14 PM,18,6:37 PM,8650,,87
5da695c047ddba000dbbe088,null,86,8600,null,7:37:14 PM,,10/22/2019,7:37:14 PM,19,7:37 PM,8900,,86
5da6981847ddba000dbbe09c,null,92,9200,null,8:37:14 PM,,10/22/2019,8:37:14 PM,20,8:37 PM,8900,,92
5da69ccf47ddba000dbbe0c2,null,86,8600,null,9:37:14 PM,,10/22/2019,9:37:14 PM,21,9:37 PM,8650,,86
5da69f2047ddba000dbbe0d2,null,87,8700,null,10:37:14 PM,,10/22/2019,10:37:14 PM,22,10:37 PM,9350,,87
5da6a3d047ddba000dbbe0f8,null,100,10000,null,11:37:14 PM,,10/22/2019,11:37:14 PM,23,11:37 PM,9900,,100
5da6a62847ddba000dbbe10a,null,98,9800,null,12:37:14 AM,,10/23/2019,12:37:14 AM,0,12:37 AM,9250,,98
5da6a88047ddba000dbbe11c,null,87,8700,null,1:37:14 AM,,10/23/2019,1:37:14 AM,1,1:37 AM,8700,,87
5da6aad947ddba000dbbe12a,null,87,8700,null,2:37:14 AM,,10/23/2019,2:37:14 AM,2,2:37 AM,8650,,87
5da6ad3347ddba000dbbe13c,null,86,8600,null,3:37:14 AM,,10/23/2019,3:37:14 AM,3,3:37 AM,8600,,86
5da6af8947ddba000dbbe14e,null,86,8600,null,4:37:14 AM,,10/23/2019,4:37:14 AM,4,4:37 AM,8600,,86
5da6b1e047ddba000dbbe162,null,86,8600,null,5:37:14 AM,,10/23/2019,5:37:14 AM,5,5:37 AM,8600,,86
5da6b43947ddba000dbbe174,null,86,8600,null,6:37:14 AM,,10/23/2019,6:37:14 AM,6,6:37 AM,8600,,86
5da6b69347ddba000dbbe188,null,86,8600,null,7:37:14 AM,,10/23/2019,7:37:14 AM,7,7:37 AM,8600,,86
5da6b8ea47ddba000dbbe19e,null,86,8600,null,8:37:14 AM,,10/23/2019,8:37:14 AM,8,8:37 AM,8600,,86
